name,type,unit_type,length,output,MAS,SS,r4ss,Ind1,Ind2,
number of forecast years,scalar_in,,1,n_forecast_years,,,,,,
number of fleets,scalar_in,,1,n_fleets,,,,,,
number of morphs,scalar_in,,1,n_growth_morphs,,,,,,
number of seasons,scalar_in,,1,n_seasons,,,,,,
number of length bins,scalar_in,,1,n_len_bins,,,,,,
number of sexes,scalar_in,,1,n_sexes,,,,,,
recruitment groups,scalar_in,,1,n_recr_groups,,,,,,
number of years,scalar_in,,1,n_years,,,,,,
ages,scalar_in,,1,n_ages,,,,,,
fleet,index,,n_fleets,,,,,,,
growth morph,index,,n_growth_morphs,,,,,,,
Year,index,year,n_years,year,,,,,,
Spawning stock biomass,derived quantity,bio,n_years,spawn_stock_bio,,,,,,
Instantaneous fishing mortality,derived quantity,unitless,n_years ,fishing_mort,,,,,,
Spawning potential ratio,derived quantity,unitless,1,spawn_pot_ratio,,SPRratio,,,,
Total biomass (males +females),derived quantity,bio,n_years,tot_bio,,TotBio,,,,
Total catch (m+f),derived quantity,"bio, numbers",n_years,tot_catch,,TotCatch,,,,
Catch,data,"bio, numbers",n_years,catch_index,catch_biomass,catch,,,,
season,index,season,n_seasons,season,,,,,,
sex,index,sex,n_sexes,sex,,,,,,
age,index,age,n_ages,age,,,,,,
survey_index,data,"bio, numbers",n_years,survey_index,survey_biomass,,,,,
age composition,data,proportion,"(n_years,n_ages)",age_comp,<catch/survey>_proportion_at_age,,,,,
length composition,data,proportion,"(n_years,n_len_bins)",length_comp,N/A,,,,,
conditional age-at-length composition,data,proportion,"(n_years*n_ages,n_len_bins)",caal_comp,N/A,,,,,
L2,parameter,cm,1,l_amax,lmax,,L_at_Amax_,sex,morph,
L1,parameter,cm,1,l_amin,lmin,,L_at_Amin_,sex,morph,
Wtlen coefficient,parameter,,1,wt_len_alpha,alpha_f,,Wtlen_1_,sex,,
Wtlen exponent,parameter,,1,wt_len_beta,beta_f,,Wtlen_2_,sex,,
M,parameter,unitless,,nat_mort,M,,NatM_p_,parnum,sex,morph
log(R0),parameter,bio,1,log_r0,R0,,SR_LN(R0),,,
Steepness,parameter,,,steepness,g,,SR_BH_steep,,,
SigmaR,parameter,,1,sigma_r,sigma_r,,SR_sigmaR,,,
Recruitment rho,parameter,,1,recr_autocorr,rho,,SR_autocorr,,,
K,parameter,,1,growth_k,c,,VonBert_K_,sex,morph,
age-sel parameters,parameter,,n_age_selex,sel_age,a50,,AgeSel_P,parnum,fleet,
length-sel parameters,parameter,,n_len_selex,sel_length,s,,Size_sel_P,parnum,fleet,
catchability,parameter,,,q,,,Q_,type,parnum,year/seas/fleet
log catchability,parameter,,,lnq,,,LnQ_,type,parnum,year/seas/fleet
growth CV young,parameter,,,cv_young,,,CV_young_,sex,group,
growth CV old,parameter,,,cv_old,,,CV_old_,sex,group,
age at 50% maturity,parameter,age,,mat_age_50,,,Mat50%_,sex,,
slope at 50% maturity,parameter,,,mat_slope,,,Mat_slope_,sex,,
length at 50% maturity,parameter,cm,,mat_len_50,,,,,,
stock-recruit environmental link,parameter,,,recr_env_link,,,SR_envlink,,,
stock-recruit offset,parameter,,n_recr_group,recr_offset,,,_offset,,,
recruitment distribution,parameter,,n_recr_group,recr_dist,,,RecrDist_,ind,group,
early recruitment dev,parameter,,n_ages,recr_dev,,,Early_RecrDev_,year,early,
main recruitment dev,parameter,,n_years,recr_dev,,,Main_RecrDev_,year,main,
initial early recruitment dev,parameter,,n_ages,recr_dev,,,Early_InitAge_,age,init,
forecast recruitment dev,parameter,,n_forecast_years,recr_dev_forecast,,,ForeRecr_,year,forecast,
implementation error,parameter,,n_forecast_years,impl_error_forecast,,,Impl_err_,forecast_year,,
intercept of fecundity relationship,parameter,,,eggs_kg_intercept,,,Eggs/kg_inter_Fem,sex,,
slope of fecundity relationship,parameter,,,eggs_kg_slope,,,Eggs/kg_slope_wt_Fem,sex,,
female,index,,1,1,,,Fem,,,
male,index,,1,2,,,Mal,,,
